Functions/AreaOfA_TruncatedCircle.uasset	AreaOfA_TruncatedCircle	Find the area of a circle that's been truncated.	—
Functions/Blending/HeightLerp.uasset	HeightLerp	Replicates the material editor's height lerp functionality by using an input alpha value to transition between 0 to 1 with a transition phase offset.	—
Functions/Blending/SmoothGradientThreshold.uasset	SmoothGradientThreshold	Mimic's a material editor function by the same name. Performs a well controlled threshold operation. The output should produce visible results as soon as the alpha is above 0.	—
Functions/CalculateMeshRadius.uasset	CalculateMeshRadius	Returns a particle mesh radius based on it's shortest, longest side or it's bounds based on the Method enum setting. 	—
Functions/CalculateRadiusFromSpriteSize.uasset	CalculateRadiusFromSpriteSize	Returns a particle radius based on the sprite's shortest, longest side or the sprites bounds based on the Method enum setting. 	—
Functions/CalculateTheGlobalDistanceFieldSurfaceNormal_GPU.uasset	CalculateTheGlobalDistanceFieldSurfaceNormal_GPU	Derive the global distance field's surface normal.	—
Functions/CalculateTheVolumeOfA_Box.uasset	CalculateTheVolumeOfA_Box	Calculates the volume of a box given it's dimensions.	—
Functions/CalculateTriangleArea.uasset	CalculateTriangleArea	Calculates the area of a triangle using Heron's formula.	—
Functions/Camera/CalculateCameraTransforms.uasset	CalculateCameraTransforms	—	—
Functions/Camera/CalculateFOV.uasset	CalculateFOV	—	—
Functions/Camera/GetCameraPropertiesGPU.uasset	GetCameraPropertiesGPU	FLWCVector3 CameraPos = PrimaryView.TileOffset.WorldCameraOrigin;	—
Functions/Camera/GetClipSpaceTransformsGPU.uasset	GetClipSpaceTransformsGPU	TranslatedWorldToClipTransform = View.TranslatedWorldToClip;	—
Functions/Camera/GetFieldOfViewGPU.uasset	GetFieldOfViewGPU	—	—
Functions/Camera/GetViewPropertiesGPU.uasset	GetViewPropertiesGPU	FLWCVector3 ViewPos = PrimaryView.TileOffset.WorldViewOrigin;	—
Functions/Camera/GetViewSpaceTransformsGPU.uasset	GetViewSpaceTransformsGPU	TranslatedWorldToCameraViewTransform = 0.0;	—
Functions/Camera/ProjectionMatrix.uasset	ProjectionMatrix	—	—
Functions/Camera/ViewRotationMatrix.uasset	ViewRotationMatrix	—	—
Functions/CascadeConversion/CascadeConversion_CalculateOrbitOffset.uasset	CascadeConversion_CalculateOrbitOffset	—	—
Functions/ChannelMasks/SelectV2Channel.uasset	SelectV2Channel	Returns a single channel from a vector2D.	—
Functions/ChannelMasks/SelectV3Channel.uasset	SelectV3Channel	—	—
Functions/ChannelMasks/SelectV4Channel.uasset	SelectV4Channel	—	—
Functions/Collision/PlaneSphereCollisionDetection.uasset	PlaneSphereCollisionDetection	Finds the point at which an animated sphere would impact an analytical plane and how much time it would take.	—
