Modules/Spawn/Location/SkeletalMeshLocation.uasset	SkeletalMeshLocation	—	
Modules/Arrays/FillBoolArray.uasset	FillBoolArray	Utility to fill array values using dynamic inputs.	—
Modules/Arrays/FillColorArray.uasset	FillColorArray	Utility to fill array values using dynamic inputs.	—
Modules/Arrays/FillFloatArray.uasset	FillFloatArray	Utility to fill array values using dynamic inputs.	—
Modules/Arrays/FillIntArray.uasset	FillIntArray	Utility to fill array values using dynamic inputs.	—
Modules/Spawn/Location/SkeletalMeshSkeletonLocation.uasset	SkeletalMeshSkeletonLocation	J|bg	Module.Set Mesh Orientation to Bone Orientation
Modules/Arrays/FillPositionArray.uasset	FillPositionArray	Utility to fill array values using dynamic inputs.	—
Modules/Arrays/FillQuaternionArray.uasset	FillQuaternionArray	z|q	Utility to fill array values using dynamic inputs.
Modules/Arrays/FillVector2DArray.uasset	FillVector2DArray	Utility to fill array values using dynamic inputs.	—
Modules/Arrays/FillVector4Array.uasset	FillVector4Array	Utility to fill array values using dynamic inputs.	—
Modules/Spawn/Location/SkeletalMeshSurfaceLocation.uasset	SkeletalMeshSurfaceLocation	—	Module.Inherit Velocity From Mesh Amount
Modules/Arrays/FillVectorArray.uasset	FillVectorArray	Utility to fill array values using dynamic inputs.	—
Modules/AttributeReader/SampleParticlesFromOtherEmitter.uasset	SampleParticlesFromOtherEmitter	When this module sets Particles.Velocity it is recommended that you add "Solve Forces And Velocity" to the particle update stack. 	—
Modules/Spawn/Location/SocketLocation.uasset	SocketLocation	B|B	Spawn particles from the location of a socket.
Modules/AttributeReader/SpawnParticlesFromOtherEmitter.uasset	SpawnParticlesFromOtherEmitter	U|B	Returns the current number of particles in the buffer.  Note: When reading from self this will be the previous frames data.
Modules/Spawn/Location/SpawnParticlesInGrid.uasset	SpawnParticlesInGrid	f|x	Emitter.Module.Grid Location Spawn Count
Modules/AttributeReader/UpdateParticlesFromOtherEmitter.uasset	UpdateParticlesFromOtherEmitter	Sample the attributes of particles in another emitter. 	—
Modules/Audio/EInitialAudioParamType.uasset	EInitialAudioParamType	—	—
Modules/Audio/InitializeAudioPlayer.uasset	InitializeAudioPlayer	Default value for Module.Audio Player if no other module has set it previously in the stack.	—
Modules/Spawn/Location/Spawn_MS_VertexAnimationTools_MorphTarget_Particles.uasset	Spawn_MS_VertexAnimationTools_MorphTarget_Particles	l|d$@	This function spawns a particle for each vertex captured by Epic's Vertex Animation Script's Morph Target option.
Modules/Audio/PlayAudio.uasset	PlayAudio	This function plays a sound at the given location after the simulation has ticked.	—
Modules/Audio/PlayLoopingAudio.uasset	PlayLoopingAudio	This dependency is only needed if you want to use the default linked Emitter.AudioPlayer data interface, otherwise this can be dismissed.	—
Modules/Audio/PlayPersistentAudio.uasset	PlayPersistentAudio	Module.Number Of Nearest Particles To Play Audio	—
Modules/Audio/SetInitialAudioParameter.uasset	SetInitialAudioParameter	Sets a bool parameter for one-shot audio invocations.	—
Modules/Audio/UpdatePersistentAudio.uasset	UpdatePersistentAudio	Updates an active persistent audio component property or sets a sound cue parameter on it. Make sure to use the same data interface that spawned the audio effect in the first place, otherwise the handle will not find anything.	—
Modules/Spawn/Location/SphereLocation.uasset	SphereLocation	H|j	Note: This is the old version of Sphere Location. It has been "soft deprecated" so as not to break existing content, and should be replaced with the new version (by adding a new version manually)  in any new content. This old version will eventually be fully deprecated.
Modules/Beams/BeamEmitterSetup.uasset	BeamEmitterSetup	Setup Module for Beam Emitters which manages startpoints, endpoints, and tangents. 	—
Modules/Beams/BeamWidth.uasset	BeamWidth	Controls the width of the spawned beam and writes to Particles.RibbonWidth. Use a curve indexed into the Particles.RibbonLinkOrder as provided from the default spawn beam module to vary width along the length of the beam. 	—
Modules/Beams/BeamWidthScale.uasset	BeamWidthScale	—	—
Modules/Beams/ScaleBeamWidth.uasset	ScaleBeamWidth	Default value for Module.Beam Width Scale if no other module has set it previously in the stack.	—
Modules/Beams/SpawnBeam.uasset	SpawnBeam	728 | 1	Places particles along a bezier spline or simply along a line between two points. Useful for sprite spacing along a beam style path, or to be used with the ribbon renderer for a classic style beam. Spawn beam creates a static beam that does not recalculate the start and endpoints each frame.
